"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","view_history","phase","trial_name","trial_num","key_selected","card_selected","reward","question_order","type_of_trial","block_type","block","index_right","index_left","prob_selected","prob_unselected"
"html-keyboard-response","456","768896","0.0-5.0-2.0-1.1-1.76","5c71b17c891e3200012477a2","","","","","","745","<img class='card_left' src='images/old/10.jpg'><img class='card_right' src='images/old/9.jpg'><div class=""fixation"">+</div>","s","","exp","cards","26","","","","","0","2","","","","",""
"html-keyboard-response","457","769407","0.0-5.0-2.0-1.1-2.76","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/10.jpg'><div class=""fixation"">+</div>","null","","exp","choice","26","0","1","","","0","2","","0","1","",""
"html-keyboard-response","458","770161","0.0-5.0-2.0-1.1-3.76","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/10.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","26","0","1","0","","0","2","1","0","1","0.5","0.1"
"html-keyboard-response","459","771074","0.0-5.0-2.0-1.1-0.77","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","460","771625","0.0-5.0-2.0-1.1-1.77","5c71b17c891e3200012477a2","","","","","","551","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","27","","","","","1","2","","","","",""
"html-keyboard-response","461","772140","0.0-5.0-2.0-1.1-2.77","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","27","1","3","","","1","2","","3","2","",""
"html-keyboard-response","462","772899","0.0-5.0-2.0-1.1-3.77","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><img class=reward src='images/zero_coins.png'>","null","","exp","reward","27","1","3","0","","1","2","1","3","2","0.5","0.1"
"html-keyboard-response","463","773809","0.0-5.0-2.0-1.1-0.78","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","464","774256","0.0-5.0-2.0-1.1-1.78","5c71b17c891e3200012477a2","","","","","","445","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","28","","","","","1","2","","","","",""
"html-keyboard-response","465","774767","0.0-5.0-2.0-1.1-2.78","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","28","1","3","","","1","2","","3","2","",""
"html-keyboard-response","466","775523","0.0-5.0-2.0-1.1-3.78","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><img class=reward src='images/won1-no-back1.png'>","null","","exp","reward","28","1","3","1","","1","2","1","3","2","0.5","0.1"
"html-keyboard-response","467","776433","0.0-5.0-2.0-1.1-0.79","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","468","776886","0.0-5.0-2.0-1.1-1.79","5c71b17c891e3200012477a2","","","","","","451","<img class='card_left' src='images/old/11.jpg'><img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","k","","exp","cards","29","","","","","1","2","","","","",""
"html-keyboard-response","469","777395","0.0-5.0-2.0-1.1-2.79","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><div class=""fixation"">+</div>","null","","exp","choice","29","1","3","","","1","2","","3","2","",""
"html-keyboard-response","470","778152","0.0-5.0-2.0-1.1-3.79","5c71b17c891e3200012477a2","","","","","","null","<img class='card_right' src='images/old/12.jpg'><img class=reward src='images/won1-no-back1.png'>","null","","exp","reward","29","1","3","1","","1","2","1","3","2","0.5","0.1"
"html-keyboard-response","471","779059","0.0-5.0-2.0-1.1-0.80","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","472","779673","0.0-5.0-2.0-1.1-1.80","5c71b17c891e3200012477a2","","","","","","613","<img class='card_left' src='images/old/10.jpg'><img class='card_right' src='images/old/9.jpg'><div class=""fixation"">+</div>","s","","exp","cards","30","","","","","0","2","","","","",""
"html-keyboard-response","473","780186","0.0-5.0-2.0-1.1-2.80","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/10.jpg'><div class=""fixation"">+</div>","null","","exp","choice","30","0","1","","","0","2","","0","1","",""
"html-keyboard-response","474","780945","0.0-5.0-2.0-1.1-3.80","5c71b17c891e3200012477a2","","","","","","null","<img class='card_left' src='images/old/10.jpg'><img class=reward src='images/won1-no-back1.png'>","null","","exp","reward","30","0","1","1","","0","2","1","0","1","0.5","0.1"
"html-keyboard-response","475","781848","0.0-5.0-2.0-1.1-0.81","5c71b17c891e3200012477a2","","","","","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","",""
"html-keyboard-response","476","782370","0.0-5.0-2.0-1.1-1.81","5c71b17c891e3200012477a2","","","","","","521","<img class='card_left' src='images/catch_trial/31.jpg'><img class=surprise src='images/surprise.jpg'><img class='card_right' src='images/catch_trial/57.jpg'>","s","","exp","cards","31","","","","","2","2","","","","",""
